sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"ARJUNA CHURNA 100 G BOTTLE",,Default,simple," IMMUNITY, IMMUNITY/ DIGESTIVE, IMMUNITY/DIABETES, CARDIAC PRODUCTS",base,"ARJUNA CHURNA 100 G BOTTLE",,"<p>For a healthy heart. ""Arjuna has been traditionally used for centuries to treat Heart diseases and thus got the nick name "" Gaurdian of the Heart"". </p>",100.000000,1,"Taxable Goods","Catalog, Search",50.000000,,,,arjuna-churna-100-g-bottle,"ARJUNA CHURNA 100 G BOTTLE","ARJUNA CHURNA 100 G BOTTLE","ARJUNA CHURNA 100 G BOTTLE ",/3/5/35343.jpg,,/3/5/35343.jpg,,/3/5/35343.jpg,,/3/5/35343.jpg,,"5/30/22, 3:03 AM","5/30/22, 5:28 AM",5/29/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,23.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/3/5/35343.jpg,,,,,,,,,,,,,,
"ARJUNA CHURNA 50 G BOTTLE NEW",,Default,virtual," IMMUNITY, CARDIAC PRODUCTS, IMMUNITY/ DIGESTIVE, IMMUNITY/DIABETES",base,"ARJUNA CHURNA 50 G BOTTLE NEW",,,200.000000,1,"Taxable Goods","Catalog, Search",20.000000,,,,arjuna-churna-100-g-bottle-new,"ARJUNA CHURNA 100 G BOTTLE NEW","ARJUNA CHURNA 100 G BOTTLE NEW","ARJUNA CHURNA 100 G BOTTLE NEW ",/3/5/35343_1.jpg,,/3/5/35343_1.jpg,,/3/5/35343_1.jpg,,/3/5/35343_1.jpg,,"5/30/22, 3:25 AM","5/30/22, 8:03 AM",5/1/22,9/27/22,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/3/5/35343_1.jpg,,,,,,,,,,,,,,
"AVIPATTIKARA CHURNA 100 G BOTTLE",,Default,simple," IMMUNITY/ DIGESTIVE",base,"AVIPATTIKARA CHURNA 100 G BOTTLE",,,,1,"Taxable Goods","Catalog, Search",50.000000,,,,avipattikara-churna-100-g-bottle,"AVIPATTIKARA CHURNA 100 G BOTTLE","AVIPATTIKARA CHURNA 100 G BOTTLE","AVIPATTIKARA CHURNA 100 G BOTTLE ",/d/i/digestive.jpg,,/d/i/digestive.jpg,,/d/i/digestive.jpg,,/d/i/digestive.jpg,,"5/30/22, 3:38 AM","5/30/22, 8:21 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/d/i/digestive.jpg,,,,,,,,,,,,,,
"DIABETES ACUTE - MAG COMBO",,Default,simple," IMMUNITY/DIABETES",base,"DIABETES ACUTE - MAG COMBO",,"<p>This combo is suitable for individuals who have diabetes for 5 years or less. Madhunashini tablets help control blood sugar levels in diabetics</p>",,1,"Taxable Goods","Catalog, Search",80.000000,,,,diabetes-acute-mag-combo,"DIABETES ACUTE - MAG COMBO","DIABETES ACUTE - MAG COMBO","DIABETES ACUTE - MAG COMBO ",/d/i/diabetes_acute_-_mag_combo.jpg,,/d/i/diabetes_acute_-_mag_combo.jpg,,/d/i/diabetes_acute_-_mag_combo.jpg,,/d/i/diabetes_acute_-_mag_combo.jpg,,"5/30/22, 3:41 AM","5/30/22, 8:17 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/d/i/diabetes_acute_-_mag_combo.jpg,,,,,,,,,,,,,,
"GREEN TEA 200G BOTTLE",,Default,simple,"WELLNESS/HERBAL TEA",base,"GREEN TEA 200G BOTTLE",,"<p>Green tea has been considered a healthy beverage because of its rich antioxidant property and used as antiaging since long. It is known to scavenge the harmful free radicals in the body and terminate the chain reaction before the cell is damaged</p>",200.000000,1,"Taxable Goods","Catalog, Search",70.000000,,,,green-tea-200g-bottle,"GREEN TEA 200G BOTTLE","GREEN TEA 200G BOTTLE","GREEN TEA 200G BOTTLE ",/g/r/green-tea-200g-1.jpg,,/g/r/green-tea-200g-1.jpg,,/g/r/green-tea-200g-1.jpg,,/g/r/green-tea-200g-1.jpg,,"5/30/22, 7:06 AM","5/30/22, 8:14 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/g/r/green-tea-200g-1.jpg,,,,,,,,,,,,,,
"COCONUT OIL 250ML BOTTLE",,Default,simple,WELLNESS/NUTRITION,base,"COCONUT OIL 250ML BOTTLE",,"<p>Goodness of coconut for health and beauty. ""Our pure coconut oil is obtained from hand picked superior quality coconuts of Jindal Farm and cold presse</p>",250.000000,1,"Taxable Goods","Catalog, Search",65.000000,,,,coconut-oil-250ml-bottle,"COCONUT OIL 250ML BOTTLE","COCONUT OIL 250ML BOTTLE","COCONUT OIL 250ML BOTTLE ",/c/o/coconut.jpg,,/c/o/coconut.jpg,,/c/o/coconut.jpg,,/c/o/coconut.jpg,,"5/30/22, 7:19 AM","5/30/22, 8:09 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/o/coconut.jpg,,,,,,,,,,,,,,
"PROSTA SUPPORT TABLETS",,Default,simple,"Health Care/MEN'S HEALTH",base,"PROSTA SUPPORT TABLETS ",,,100.000000,1,"Taxable Goods","Catalog, Search",35.000000,,,,prosta-support-tablets,"PROSTA SUPPORT TABLETS","PROSTA SUPPORT TABLETS","PROSTA SUPPORT TABLETS ",/p/r/prosta_support_tablets.jpg,,/p/r/prosta_support_tablets.jpg,,/p/r/prosta_support_tablets.jpg,,/p/r/prosta_support_tablets.jpg,,"5/30/22, 7:25 AM","5/30/22, 8:07 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/p/r/prosta_support_tablets.jpg,,,,,,,,,,,,,,
"TULSI TABLET 60 TABLET BOTTLE BUY 2 GET 1 FREE",,Default,simple,"WELLNESS,WELLNESS/HERBAL TEA",base,"TULSI TABLET 60 TABLET BOTTLE BUY 2 GET 1 FREE",,"<p>Tulsi or Holy basil is a widely known medicinal plant and perhaps one of the best examples of Ayurveda’s holistic lifestyle approach to health. Tulsi has been found to protect the body from chemical, physical as well as psychological stress.</p>",300.000000,1,"Taxable Goods","Catalog, Search",70.000000,,,,tulsi-tablet-60-tablet-bottle-buy-2-get-1-free,"TULSI TABLET 60 TABLET BOTTLE BUY 2 GET 1 FREE","TULSI TABLET 60 TABLET BOTTLE BUY 2 GET 1 FREE","TULSI TABLET 60 TABLET BOTTLE BUY 2 GET 1 FREE ",/t/u/tulsi_tablet_60_tablet_bottle_buy_2_get_1_free.jpg,,/t/u/tulsi_tablet_60_tablet_bottle_buy_2_get_1_free.jpg,,/t/u/tulsi_tablet_60_tablet_bottle_buy_2_get_1_free.jpg,,/t/u/tulsi_tablet_60_tablet_bottle_buy_2_get_1_free.jpg,,"5/30/22, 7:34 AM","5/30/22, 7:34 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/u/tulsi_tablet_60_tablet_bottle_buy_2_get_1_free.jpg,,,,,,,,,,,,,,
"SATAVARI GRANULES 100G BOTTLE BUY 2 GET 1 FREE",,Default,simple,"Health Care,Health Care/WOMEN'S HEALTH",base,"SATAVARI GRANULES 100G BOTTLE BUY 2 GET 1 FREE",,"<p>Jindals Satavari granules contains satavari in the form of granules which makes it more palatable and acceptable for present generation. Satavari granules is an excellent galactagogue and immunomodulator for nursing mothers. Helps in increasing the prolactin levels thereby facilitating smooth flow of breastmilk.</p>",100.000000,1,"Taxable Goods","Catalog, Search",65.000000,,,,satavari-granules-100g-bottle-buy-2-get-1-free,"SATAVARI GRANULES 100G BOTTLE BUY 2 GET 1 FREE","SATAVARI GRANULES 100G BOTTLE BUY 2 GET 1 FREE","SATAVARI GRANULES 100G BOTTLE BUY 2 GET 1 FREE ",/s/a/satavari_granules_100g_bottle_buy_2_get_1_free.jpg,,/s/a/satavari_granules_100g_bottle_buy_2_get_1_free.jpg,,/s/a/satavari_granules_100g_bottle_buy_2_get_1_free.jpg,,/s/a/satavari_granules_100g_bottle_buy_2_get_1_free.jpg,,"5/30/22, 7:37 AM","5/30/22, 7:37 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/a/satavari_granules_100g_bottle_buy_2_get_1_free.jpg,,,,,,,,,,,,,,
"SATAVARI GRANULES 100G BOTTLE",,Default,simple,"Health Care,Health Care/WOMEN'S HEALTH",base,"SATAVARI GRANULES 100G BOTTLE",,,100.000000,1,"Taxable Goods","Catalog, Search",100.000000,,,,satavari-granules-100g-bottle,"SATAVARI GRANULES 100G BOTTLE","SATAVARI GRANULES 100G BOTTLE","SATAVARI GRANULES 100G BOTTLE ",/s/a/satavari_granules_100g_bottle.jpg,,/s/a/satavari_granules_100g_bottle.jpg,,/s/a/satavari_granules_100g_bottle.jpg,,/s/a/satavari_granules_100g_bottle.jpg,,"5/30/22, 7:44 AM","5/30/22, 8:05 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/a/satavari_granules_100g_bottle.jpg,,,,,,,,,,,,,,
